,POS,Product,Model_MSE,Benchmark_MSE,Model_MAPE,Benchmark_MAPE
0,0,0,0.0,0.0,0.0,0.0
0,292,1277,435.41978670729515,316.6248979591836,0.21786915555113343,0.18176916713389815
0,292,2609,579.630253923654,514.9726530612245,0.16708684798158366,0.15460035398794741
0,292,481,598.4638973242716,1490.5885714285719,0.2153077335531599,0.3272647767136165
0,292,993,563.3444051846593,1319.6844897959184,0.1593804662218815,0.2372841052675096
0,292,1147,1243.4119991675723,2623.315102040816,0.23630469603207577,0.30655173545418557
0,292,1234,908.1275499757514,1867.710204081633,0.2645647391965906,0.38608786418110536
0,292,2802,498.24790340604375,404.98,0.17298853687459473,0.14982978946216502
0,292,847,316.90072738605505,286.4248979591836,0.27566592859866346,0.27609610337223506
0,292,226,882.7215581528081,723.6800000000002,0.17872939388505255,0.17906535194791168
0,292,1422,591.796614563005,532.4751020408163,0.2760960378713979,0.28106396068547956
0,78,1277,717.8528232779947,591.8306122448979,0.1907534646756991,0.17255722868211876
0,78,2609,1293.3820675325221,935.9995918367348,0.20530407575978327,0.17258229089424126
0,78,481,490.5541060327388,1143.2224489795917,inf,inf
0,78,993,3536.364142586169,3181.9408163265325,0.36963993197939543,0.3729708235720996
0,78,1147,406.2051863736957,1117.4620408163262,0.46564735758573306,0.7432097877007964
0,78,1234,970.8505708875359,2207.697142857143,0.2916067416813927,0.42173648681493525
0,78,2802,377.3692425544474,334.79306122448963,0.22368260132766232,0.20742286860597348
0,78,847,908.3503267011247,594.8902040816325,0.27884323229133867,0.23288867722960904
0,78,226,476.2596137425121,340.07102040816324,0.20098942019122848,0.16625790122425685
0,78,1422,1273.6742661753942,878.0183673469389,0.30925513885017664,0.2742660910428456
0,280,1277,785.716131583352,797.3706122448982,0.19170930851861168,0.19322093456733044
0,280,2609,442.14796492250156,325.3412244897959,0.18373134781634703,0.15492391295514044
0,280,481,824.618596827946,1808.0914285714289,0.26390747974063683,0.3472888962268674
0,280,993,669.0212885884116,1106.0587755102042,0.19746597521083353,0.2863433996912136
0,280,1147,1021.0075425180991,2993.7159183673475,0.2005346455719197,0.3166981081537425
0,280,1234,877.4047325411613,2275.1738775510216,0.30493633777520573,0.5434258936703651
0,280,2802,699.3415464272612,701.8097959183673,0.2031450090914843,0.19488734685029466
0,280,847,416.9341541450343,329.20326530612243,0.23155345696210436,0.19512695776698044
0,280,226,263.3479012985748,200.7114285714285,0.26522156208534914,0.23100535536300826
0,280,1422,458.84076327547126,346.5975510204082,0.21840741236008632,0.2010610105301016
0,272,1277,502.0926380139371,396.0240816326532,0.20972686180529865,0.17628525634120135
0,272,2609,336.4585363035727,275.9310204081633,0.20786971405769705,0.17896550364753505
0,272,481,367.1552857625661,1312.2322448979594,0.22342094555433584,0.34871188446741136
0,272,993,376.37693067092465,1453.7081632653062,0.1789012976916924,0.295118666328865
0,272,1147,749.3896435060353,3449.171428571429,0.21182362789599057,0.36843004906913346
0,272,1234,563.9767931041257,1836.365306122449,0.2139400084800382,0.3894381969535125
0,272,2802,250.63900108388384,250.15469387755107,0.16293765587487777,0.16696765974037495
0,272,847,308.6835911990263,242.8889795918368,0.3010888514626605,0.2638294362413492
0,272,226,409.26342536500204,306.1930612244898,0.20750189120413876,0.17604350303182936
0,272,1422,409.7444645721035,325.3191836734694,0.27247514180263915,0.23564015295768803
0,92,1277,480.2031858845644,403.5220408163264,0.18967784191761075,0.19121393766461403
0,92,2609,601.8398428558971,464.5624489795918,0.20252980266776308,0.17702799310001127
0,92,481,1654.4588290554548,1473.5987755102035,0.3889083496115298,0.4740913362011835
