,POS,Product,Model_MSE,Benchmark_MSE,Model_MAPE,Benchmark_MAPE
0,383,226,510.65346055451636,335.7032653061223,0.18827911475824202,0.1441516294059059
0,383,1422,288.9407071047974,196.83265306122445,0.2599095551933103,0.21958349811484656
0,282,1277,253.91798435783167,234.2502040816327,0.23057424264262882,0.23343061451924665
0,282,2609,133.63412021384565,94.51061224489794,0.17723898853597864,0.1360036278554059
0,282,481,334.0470732049417,708.0097959183673,0.2750683374809036,0.3661983477339624
0,282,993,221.9439800516414,463.64693877551036,0.1895050030595125,0.24331446138756266
0,282,1147,221.8785529526811,681.945306122449,0.15639251267546112,0.2648771495708097
0,282,1234,247.2597078903717,757.4881632653062,0.22754686569891053,0.32900383419983276
0,282,2802,303.1849737971791,231.31020408163266,0.19122356700089654,0.17945236673976592
0,282,847,118.28821979769359,97.91224489795918,0.23929771408055056,0.21750698172484842
0,282,226,268.04845924879066,196.6926530612245,0.1910359448581318,0.1543612515433192
0,282,1422,244.36588075751737,192.8869387755102,0.3209089450368843,0.2967265576323809
0,48,1277,660.9423447643599,546.4902040816326,0.22628098894831797,0.21276735461689023
0,48,2609,1829.7973264019556,1410.5355102040814,0.2092462975000189,0.17628028890728764
0,48,481,1360.3719079157534,3107.5297959183667,0.21870104610501442,0.36607873833673227
0,48,993,207.63087493093107,258.3579591836735,0.2193397931222188,0.2416614557917686
0,48,1147,180.71713774998884,430.13346938775516,0.3474749391106783,0.43578314891825704
0,48,1234,507.3454985543802,1271.801224489796,0.30201873373798804,0.4362531379008319
0,48,2802,157.20884574901703,135.81632653061223,0.1905847685452519,0.16862548712206052
0,48,847,279.9218955865203,203.21755102040814,0.21686917550531257,0.19062381130121797
0,48,226,209.92764822063435,157.37102040816328,0.2794317245355632,0.24081029849474825
0,48,1422,774.0590244718271,578.9130612244898,0.26013089103241666,0.22056741414676684
0,359,1277,199.60570490003684,134.26979591836735,0.17425259728092118,0.14385034253270537
0,359,2609,155.3096180307821,119.62612244897959,0.18104052220664976,0.17033652314717299
0,359,481,606.6008253641689,2090.7069387755096,0.22694204506670615,0.35887363905604547
0,359,993,200.18921762388368,537.7836734693877,0.17457907530957756,0.2502557346284038
0,359,1147,526.9345076242478,2346.738775510203,0.19156876641881618,0.35520621103459143
0,359,1234,415.40538690023504,1026.2910204081634,0.21709048693499167,0.3720050147461245
0,359,2802,231.94431153380646,198.38040816326523,0.16893703445284047,0.15463310753262452
0,359,847,394.37452261748723,298.14938775510194,0.19377020668323142,0.16282032767896326
0,359,226,347.04320879753254,276.4779591836734,0.17808590978008612,0.16694976335004444
0,359,1422,169.2336183192766,144.87265306122444,0.251189866873062,0.2535292194942156
