,Date,Actual,Forecast,Benchmark,POS,Product
20,2019-04-14 00:00:00,128.0,124.47503881846431,113.0,292,2609
21,2019-04-21 00:00:00,84.0,112.13179931002522,116.28571428571429,292,2609
22,2019-04-28 00:00:00,112.0,101.32813218787244,112.71428571428571,292,2609
23,2019-05-05 00:00:00,155.0,97.58323870841437,113.42857142857143,292,2609
24,2019-05-12 00:00:00,124.0,137.53447600233596,117.14285714285714,292,2609
25,2019-05-19 00:00:00,131.0,134.3125838385811,119.28571428571429,292,2609
26,2019-05-26 00:00:00,109.0,129.43522799607246,119.57142857142857,292,2609
27,2019-06-02 00:00:00,140.0,125.21380953584527,120.42857142857143,292,2609
28,2019-06-09 00:00:00,155.0,125.5838001976941,122.14285714285714,292,2609
29,2019-06-16 00:00:00,79.0,142.3190228777371,132.28571428571428,292,2609
30,2019-06-23 00:00:00,118.0,111.11359586609609,127.57142857142857,292,2609
31,2019-06-30 00:00:00,115.0,102.67621836351388,122.28571428571429,292,2609
32,2019-07-07 00:00:00,119.0,113.20524684767629,121.0,292,2609
33,2019-07-14 00:00:00,160.0,120.86286904894386,119.28571428571429,292,2609
34,2019-07-21 00:00:00,142.0,140.10152298242298,126.57142857142857,292,2609
35,2019-07-28 00:00:00,166.0,148.66449807561207,126.85714285714286,292,2609
36,2019-08-04 00:00:00,129.0,158.34076276175955,128.42857142857142,292,2609
37,2019-08-11 00:00:00,100.0,142.5343665318553,135.57142857142858,292,2609
38,2019-08-18 00:00:00,109.0,116.6377135518456,133.0,292,2609
39,2019-08-25 00:00:00,114.0,101.41149288170676,132.14285714285714,292,2609
40,2019-09-01 00:00:00,106.0,109.05901671220987,131.42857142857142,292,2609
41,2019-09-08 00:00:00,106.0,110.76170927594531,123.71428571428571,292,2609
42,2019-09-15 00:00:00,141.0,102.07053833062453,118.57142857142857,292,2609
43,2019-09-22 00:00:00,169.0,129.7257786016879,115.0,292,2609
44,2019-09-29 00:00:00,123.0,156.19685107904527,120.71428571428571,292,2609
45,2019-10-06 00:00:00,125.0,148.83658648872319,124.0,292,2609
46,2019-10-13 00:00:00,113.0,120.44752710598019,126.28571428571429,292,2609
47,2019-10-20 00:00:00,122.0,118.04562692780179,126.14285714285714,292,2609
48,2019-10-27 00:00:00,115.0,118.35498501260788,128.42857142857142,292,2609
49,2019-11-03 00:00:00,85.0,111.12266601005409,129.71428571428572,292,2609
0,2018-11-25 00:00:00,166.0,208.75085010707392,183.0,292,481
1,2018-12-02 00:00:00,192.0,180.718375733921,190.28571428571428,292,481
2,2018-12-09 00:00:00,155.0,182.97668074432988,192.85714285714286,292,481
3,2018-12-16 00:00:00,198.0,164.38708576910616,196.14285714285714,292,481
4,2018-12-23 00:00:00,260.0,209.4732746914162,200.71428571428572,292,481
5,2018-12-30 00:00:00,237.0,247.9884089233391,199.85714285714286,292,481
6,2019-01-06 00:00:00,233.0,234.5807791727419,201.14285714285714,292,481
7,2019-01-13 00:00:00,234.0,227.24479007765424,205.85714285714286,292,481
8,2019-01-20 00:00:00,236.0,237.1669052708245,215.57142857142858,292,481
9,2019-01-27 00:00:00,209.0,230.37714057978144,221.85714285714286,292,481
10,2019-02-03 00:00:00,212.0,218.5632256472712,229.57142857142858,292,481
11,2019-02-10 00:00:00,155.0,222.23104580824713,231.57142857142858,292,481
12,2019-02-17 00:00:00,149.0,159.8342733378925,216.57142857142858,292,481
13,2019-02-24 00:00:00,132.0,148.7590625119571,204.0,292,481
14,2019-03-03 00:00:00,95.0,134.38292624543425,189.57142857142858,292,481
15,2019-03-10 00:00:00,98.0,99.94791775307912,169.71428571428572,292,481
16,2019-03-17 00:00:00,105.0,93.37985273739919,150.0,292,481
17,2019-03-24 00:00:00,110.0,103.89761725791304,135.14285714285714,292,481
18,2019-03-31 00:00:00,90.0,99.85764504693137,120.57142857142857,292,481
19,2019-04-07 00:00:00,124.0,90.42874345405427,111.28571428571429,292,481
20,2019-04-14 00:00:00,95.0,116.82137971699683,107.71428571428571,292,481
21,2019-04-21 00:00:00,76.0,92.26492301839201,102.42857142857143,292,481
22,2019-04-28 00:00:00,79.0,78.12231009430204,99.71428571428571,292,481
23,2019-05-05 00:00:00,52.0,79.92925099852485,97.0,292,481
24,2019-05-12 00:00:00,68.0,56.3823593478665,89.42857142857143,292,481
25,2019-05-19 00:00:00,66.0,63.04172673730687,83.42857142857143,292,481
26,2019-05-26 00:00:00,58.0,71.44661545327357,80.0,292,481
27,2019-06-02 00:00:00,56.0,55.04550403468409,70.57142857142857,292,481
28,2019-06-09 00:00:00,51.0,52.703898415420646,65.0,292,481
29,2019-06-16 00:00:00,59.0,51.736779511417105,61.42857142857143,292,481
30,2019-06-23 00:00:00,62.0,53.60613218075502,58.57142857142857,292,481
31,2019-06-30 00:00:00,46.0,63.653595427936295,60.0,292,481
32,2019-07-07 00:00:00,39.0,48.098948196287274,56.857142857142854,292,481
33,2019-07-14 00:00:00,49.0,38.41087515272719,53.0,292,481
34,2019-07-21 00:00:00,31.0,47.339032753551116,51.714285714285715,292,481
35,2019-07-28 00:00:00,18.0,32.5045177673253,48.142857142857146,292,481
